Country,CO2,Country.1,PM,Public Transport,Landfill,Recycle,Water Reuse,Water Stress,Accommodation,Temp_x,Energy Use,Temp_y
Liberia,70.72008,,35.79581,,0.160682501,,42.59,,39.0821508,25.47,0,25.47
Libya,2429.4678,48.450928,29.83557,,0.34675,,784,4.81,3456.62756,22.8,6814.9688,22.8
Lithuania,2122.8838,42.599674,10.36907,88.479996,0.472000003,22.92,806.3,2.14,1363.18951,,63.899513,
Low-income countries,94.62022,1.3112636,,,,,,,213.38721,,56.537777,
Lower-middle-income countries,258.7661,4.7630706,,,,,,,857.93084,,103.63456,
Luxembourg,6627.737,137.75897,8.89471,97.4,0.791000023,28.37,136.4,2.93,2449.0482,11.43,45.919655,11.43
Madagascar,49.93879,0.65708935,16.02251,56.79,0.151388913,,798.9,0.9,192.52718,22.7,0,22.7
Malawi,72.440056,,18.56954,41.533337,0.078291185,,112.4,0.75,4.86174885,22.55,0.9723497,22.55
Malaysia,1552.0747,33.145515,21.52164,39.6,0.4294918,17.5,381.3,1.03,4277.500764,26.35,680.4918,26.35
Maldives,2175.091,,13.00334,98.8,0.516923036,,,,1373.74177,28.08,0,28.08
Mali,196.33644,3.46731,38.54882,67,0.121034196,,,0.68,132.62461,29.19,0,29.19
Malta,1382.068,18.932438,12.93003,97.3,0.694000011,6.69,137.5,,1722.85189,20.26,189.32439,20.26
Marshall Islands,1995.311,,7.21485,,0.163165571,30.8,,,1496.4833,,,
Mauritania,810.1494,12.3060665,41.98461,,0.129481663,8,554.9,2.73,834.76155,28.9,0,28.9
Mauritius,901.15924,15.672335,10.48182,,0.346663522,,507.5,,2006.05886,23.27,0,23.27
Mexico,1009.3061,20.526678,17.82781,39.17647,0.421793617,5,687.6,4,1540.3561,21.7,362.56024,21.7
Micronesia (country),713.5085,,7.78563,,,,,,535.13135,,0,
Moldova,740.135,13.157955,12.36523,,1.120168549,15.32,,1.26,1457.2434,11.9,164.47444,11.9
Mongolia,891.9039,35.439888,41.30377,47.3,0.957918318,,,3.13,4994.0712,1.31,301.23907,1.31
Montenegro,1480.5198,16.269447,19.29617,,0.530000004,5.42,,0.72,2603.11163,11,65.07779,11
Morocco,470.14297,6.965081,13.44048,48.86,0.19966152,8,501.8,3.99,1101.01872,,2.143102,
Mozambique,132.89955,2.143541,16.44818,35.44,0.091869944,1,45.7,0.37,216.19144,24.42,144.84215,24.42
